factor,cell_type,sign,gene,loading
1,Astrocyte,1.0,LRP8,8.670114154158178
1,Astrocyte,1.0,FAM13B,8.573129257283695
1,Astrocyte,1.0,REV3L,8.530051376123826
1,Astrocyte,1.0,PRELP,8.506693800083372
1,Astrocyte,1.0,GLUL,8.353432804087221
1,Astrocyte,1.0,LMLN,8.229772887572654
1,Astrocyte,1.0,IFT20,8.1659318854067
1,Astrocyte,1.0,EPC1,8.144884050117202
1,Astrocyte,1.0,PC,8.105118453598301
1,Astrocyte,1.0,MFSD10,8.012237517516962
1,Astrocyte,1.0,EIF2AK2,7.9972512634896615
1,Astrocyte,1.0,GPSM2,7.904038214198126
1,Astrocyte,-1.0,ANAPC13,-0.0077496304030037185
1,Astrocyte,-1.0,SPATA13,-0.009804261352767343
1,Astrocyte,-1.0,CEBPZ,-0.01379851159498649
1,Astrocyte,-1.0,MLF2,-0.0665013777097734
1,Astrocyte,-1.0,PPM1L,-0.06650137770977634
1,Astrocyte,-1.0,MPV17,-0.06650137770977729
1,Astrocyte,-1.0,RNF19B,-0.06650137770977979
1,Astrocyte,-1.0,PLEKHA2,-0.06650137770978251
1,Astrocyte,-1.0,PNOC,-0.06650137770978386
1,Astrocyte,-1.0,PHACTR2,-0.06650137770978391
1,Astrocyte,-1.0,MTMR3,-0.06650137770978547
1,Astrocyte,-1.0,OCEL1,-0.0665013777097856
1,Astrocyte,-1.0,RBM43,-0.06650137770978613
1,Astrocyte,-1.0,NFKBIA,-0.06650137770978619
1,Astrocyte,-1.0,PDIA3,-0.06650137770978623
1,Astrocyte,-1.0,PTPRU,-0.06650137770978741
1,Astrocyte,-1.0,NBPF9,-0.06650137770978787
1,Astrocyte,-1.0,PNMA6A,-0.06650137770978806
1,Astrocyte,-1.0,NOP56,-0.06650137770978819
1,Astrocyte,-1.0,OR9Q1,-0.06650137770978867
1,Astrocyte,-1.0,PLA2G4A,-0.06650137770978905
1,Astrocyte,-1.0,PCDHB10,-0.06650137770978912
1,Astrocyte,-1.0,PSMG1,-0.06650137770978921
1,Astrocyte,-1.0,PHETA1,-0.0665013777097895
1,Astrocyte,-1.0,RGS10,-0.06650137770978963
1,Astrocyte,-1.0,SCNM1,-0.06650137770978976
1,Astrocyte,-1.0,PARL,-0.06650137770978988
1,Astrocyte,-1.0,PTK6,-0.06650137770979046
1,Astrocyte,-1.0,PSTPIP1,-0.06650137770979057
1,Astrocyte,-1.0,PLXNB2,-0.06650137770979057
1,Endothelial,1.0,KCNS1,5.88944254310356
1,Endothelial,1.0,NUP37,4.652434610793376
1,Endothelial,1.0,KIF2C,4.583070305616962
1,Endothelial,1.0,ERC2,4.556742416623158
1,Endothelial,1.0,GPER1,4.421653686811138
1,Endothelial,1.0,POGZ,3.9096295226846802
1,Endothelial,1.0,HJV,3.7544124168758732
1,Endothelial,1.0,GBA2,3.7448063815060344
